Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
the_confederation_is_legitime; Подписан Лапазский договор;;;;;;;;;;;;; 
organize_indian_territory_title; Организовать индейскую территорию;;;;;;;;;;;;; 
organize_indian_territory_desc; С принятием Закона об индейском переселении и последующих переселениях индейцев наша обязанность организовать территорию таким образом, чтобы способствовать стабильности и автономии коренных народов региона.;;;;;;;;;;;;; 
EVT45104OPTA; Гаити должен быть объединен!;;;;;;;;;;;;; 
EVT45104OPTB; Вперед, в Санто-Доминго!;;;;;;;;;;;;;   
annexation_santo_domingo_title; Аннексия Доминиканской Республики;;;;;;;;;;;;; 
annexation_santo_domingo_desc; Недавно в Верхнюю палату поступил законопроект с требованием аннексии Доминиканской Республики. Эта небольшая страна, разделяющая остров с Гаити, яростно выступает против независимости страны и утверждает, что территория является частью Гаити, страдает от коррупции и финансовых проблем. Некоторые из самых энтузиастичных сторонников законопроекта уже связались с диктатором страны и заверили нас, что если мы подмаслим ладони, у нас очень скоро будет плебисцит с просьбой о присоединении. Однако великие державы, скорее всего, раскусят этот трюк, и еще остается вопрос убеждения нашей собственной верхней палаты в том, что такая аннексия будет для нас выгодной.;;;;;;;;;;;;; 
establish_banatia_title; Создать Банатию;;;;;;;;;;;;; 
establish_banatia_desc; Банат географически называют частью Паннонского бассейна, ограниченного на юге рекой Дунай, на западе рекой Тиса, на севере рекой Муреш, а на востоке Южными Карпатами. Чтобы лучше всего защитить наши интересы, закрепление нашего присутствия на западе позволит нам защитить больше немцев и увеличить нашу власть.;;;;;;;;;;;;; 
londonderry_renaming_act_title; Переименование Лондондерри;;;;;;;;;;;;; 
londonderry_renaming_act_desc; Провинция, ранее известная как Лондондерри, недавно перешла в наше владение. Находясь так долго в чужих руках с чужим именем, пришло время вернуть ее настоящее имя.;;;;;;;;;;;;; 
offer_to_buy_cuba_title; Предложение купить Кубу;;;;;;;;;;;;;
offer_to_buy_cuba_desc; В связи с недавними волнениями на Кубе возникла перспектива возможной продажи испанским правительством острова Соединенным Штатам. Следует ли нам попытаться начать переговоры?;;;;;;;;;;;;;
the_foster_act_title; Акт Форстера $YEAR$ года;;;;;;;;;;;;;
the_foster_act_desc; Уильям Эдвард Форстер разработал первый Закон об образовании в $YEAR$. Он требовал, чтобы школы с частичным государственным финансированием были созданы для обеспечения начального образования в районах, где существующие условия были неадекватными. Школами управляли избранные школьные советы. Школы по-прежнему взимали плату, но бедные родители могли быть освобождены от нее. Закон означал, что обязательное посещение школы перестало быть вопросом местного выбора, поскольку дети должны были посещать школу в возрасте от 5 до 10 лет, с исключениями, такими как болезнь, если дети работали или жили слишком далеко от школы.;;;;;;;;;;;;;
reform_the_local_government_title; Реформировать местное самоуправление;;;;;;;;;;;;;
reform_the_local_government_desc;Наша нация состоит из нескольких меньших подразделений, иногда республик или местных правительств, которые, хотя и не являются независимыми, сохраняют некоторые старые институты и формы правления. Реформируя эти институты, эти места будут иметь те же политические реформы и институты, что и мы.;;;;;;;;;;;;; 
tunisian_colony_title;$COUNTRY_ADJ$ протекторат над Тунисом;;;;;;;;;;;;; 
tunisian_colony_desc;Тунис в последние годы находится в плохом положении, на грани банкротства. Хватка их правителей над ними слабеет, а наш контроль над ними с каждым днем крепнет. Пришло время вмешаться в их местную политику, гарантировать, что они будут платить по своим долгам и управлять своей страной так, как положено, - эффективной колонией, которую мы можем использовать.;;;;;;;;;;;;; 
founding_yadanabon_title;Основать Город самоцветов;;;;;;;;;;;;; 
founding_yadanabon_desc;"В $YEAR$ король Миндон из $COUNTRY$ приказал построить новую королевскую столицу у подножия холма Мандалай, чтобы исполнить пророчество об основании метрополии буддизма в этом точном месте по случаю 2400-летнего юбилея буддизма. Площадь нового города составляла 66 км2, окруженного четырьмя реками. План предусматривал цитадель с сеткой из 144 кварталов, закрепленную королевским дворцовым комплексом из 16 кварталов в центре у холма Мандалай. Цитадель площадью 1020 акров должна была быть окружена четырьмя стенами длиной 2032 м и рвом шириной 64 м, глубиной 4,6 м. Через каждые 169 м вдоль стены были построены башни с позолоченными шпилями для сторожей. Стены имели по три ворот с каждой стороны и пять мостов через ров. Кроме того, король также заказал пагоду Кутодо, зал упасампады Пахтан-хо Шве Тхейн, зайаты Тудамма ""Хорошая дхарма"" или общественные дома для проповеди буддизма и библиотеку для Палийского канона. Бывший королевский дворец Амарапуры был разобран и перевезен слонами на новое место у подножия Мандалая. Этот новый город получит название Яданабон - Город самоцветов, отсылка к Долине рубинов, в 200 км к северу в горах Могок.";;;;;;;;;;;;; 
pick_up_a_tech_school_title;Выбрать техническую школу;;;;;;;;;;;;; 
pick_up_a_tech_school_desc;Если мы хотим продвинуться как нация, нам нужно выбрать направление для наших исследований.;;;;;;;;;;;;;  
close_pick_up_a_tech_school_title;Скрыть решения о технических школах;;;;;;;;;;;;; 
close_pick_up_a_tech_school_desc;Мы все еще не определились с направлением исследований нашей страны.;;;;;;;;;;;;; 
annex_champasak_title;Аннексировать Чампасак;;;;;;;;;;;;; 
annex_champasak_desc;С окончанием последней войны с Сиамом мы в состоянии потребовать их вассала Чампасак и аннексировать его в нашу колонию в Индокитае.;;;;;;;;;;;;;   
ivory_coast_conquest_title;Аннексия Берега Слоновой Кости;;;;;;;;;;;;; 
ivory_coast_conquest_desc;Несколько английских, голландских и португальских поселений и торговых постов были созданы и в конечном итоге исчезли на Берегу Слоновой Кости. Если мы хотим создать протекторат на материке, нам нужно начать контролировать побережье.;;;;;;;;;;;;; 
christimas_and_cocos_adminstration_title;Передача островов Рождества и Кокосовых;;;;;;;;;;;;;   
christimas_and_cocos_adminstration_desc;Губернатор Австралии обратился с просьбой разрешить им управлять островами Рождества и Кокосовыми, утверждая, что поставки уже поступают из Австралии, и они будут гораздо эффективнее управляться из близлежащего региона.;;;;;;;;;;;;; 
organize_colonial_armies_title;Реформировать колониальную армию $COUNTRY_ADJ$;;;;;;;;;;;;; 
organize_colonial_armies_desc;В прошлом количество войск колоний за границей, которыми мы располагали, было ограничено логистическими факторами. Корабли, приказы, войска и офицеры требовали много времени на прибытие, а контроль над землей в сочетании с нежеланием коренных жителей сотрудничать означал, что мы не реализовали весь потенциал наших колоний. Теперь мы обладаем технологиями, чтобы это изменить.\n\n?RПРИМЕЧАНИЕ: это решение увеличивает максимально допустимый процент солдатских популяций неанимистов в колониях с 1% до 2%. Популяции анимистов по-прежнему должны обращаться, прежде чем они смогут превысить 1%.?W;;;;;;;;;;;;; 
colonial_armies;Колониальная армия реформирована;;;;;;;;;;;;; 
conquest_of_mocamedes_title;Мосамедская экспедиция;;;;;;;;;;;;; 
conquest_of_mocamedes_desc;Залив, который называли Ангра-ду-Негру, впервые исследовали португальцы в 1785 году, и Луис Кандидо Кордейро Пиньейро Фуртадо, который был послан туда на фрегате Лоанда тогдашним генерал-губернатором Анголы бароном Мосамедесом, объявил его португальским владением. Именно они переименовали залив в честь человека, который их послал. В $YEAR$ тогдашний генерал-губернатор Анголы отправил новую экспедицию, чтобы подчинить соба или вождей этого региона и установить их в качестве вассалов $COUNTRY$.;;;;;;;;;;;;; 
the_1854_plan_title;План $YEAR$ года;;;;;;;;;;;;; 
the_1854_plan_desc;"Родившийся в семье среднего класса в Лилле, Луи Фэйдерб стал заместителем директора инженеров в колониях Сенегала. Он играет центральную роль в реализации ""Плана $YEAR$ года"": серии министерских приказов, данных губернатору Проте Сенегала, которые возникли на основании просьб могущественной бордоской компании Морель и Пром, крупнейшего судоходного предприятия в Сен-Луи. В плане подробно указывалось на создание фортов вдоль реки Сенегал, чтобы положить конец африканскому контролю над торговлей акациевой камедью из внутренних районов. Настойчивость Файдерба в строительстве укреплений дальше вызвала конфликты с Проте, а его протесты в Париже по поводу бездействия Проте быстро принесли ему некоторое сочувствие в правительстве. Если бы мы назначили его командиром батальона, а затем губернатором колонии, мы могли бы быстро привести план в действие и взять под контроль прибрежные волофские королевства.";;;;;;;;;;;;; 
claim_the_north_title;Заявить права на Великий Север;;;;;;;;;;;;; 
claim_the_north_desc;Обширные северные территории долгое время находились на границе нашего контроля. Нам нужно закрепить наши претензии на эту область и заявить права на север.;;;;;;;;;;;;; 
cheju_treaty_port_title;Концессия на остров Чеджу;;;;;;;;;;;;; 
cheju_treaty_port_desc;Остров Чеджу (или Джеджу), к югу от Кореи, лежит в Корейском проливе между Японией и Кореей. Согласно местной легенде, три полубога возникли из Самсунга, который, как говорят, находился на северных склонах горы Халла, и стали прародителями народа Чеджу, основавшего королевство Тамна. Во времена династии Чосон корейцы относились к жителям острова Чеджу как к иностранцам, а Чеджу считался местом разведения лошадей и изгнания политических заключенных. В XVII веке Инджо Чосона издал указ, запрещающий жителям острова путешествовать на материковую часть Кореи. Несмотря на бедность, этот остров мог бы послужить хорошей базой для оказания влияния на Корею и Японию, и это то место, от которого скорее всего откажутся - нынешние владельцы не очень дорожат им.;;;;;;;;;;;;; 
zanzibar_treaty_port_title;Концессия на остров Занзибар;;;;;;;;;;;;; 
zanzibar_treaty_port_desc;"Занзибар происходит от занги, персидского названия местных людей, которое, как говорят, означает ""черный"", и персидского бар, что означает побережье или берег. Архипелаг Занзибар состоит из нескольких островов у побережья Восточной Африки в Индийском океане. Есть три основных острова плюс ряд меньших островков, окружающих их, и изолированный крошечный островок. Занзибар является центром арабской работорговли и проецирует свою власть на длинную полосу земли в Восточной Африке. Он послужил бы отличной базой и угольной станцией в Восточной Африке.";;;;;;;;;;;;; 
socotra_treaty_port_title;Концессия на остров Сокотра;;;;;;;;;;;;; 
socotra_treaty_port_desc;" Небольшой архипелаг из четырех островов в Индийском океане, Сокотра обитаем с I века н.э., появившись как Диоскуриду (""Диоскуров"") в Перипле Эритрейского моря, греческом навигационном пособии. Главный город острова называется Хадибу, и с гарнизоном, фортом и портом остров стал бы идеальным местом для угольной станции наших кораблей, следующих в Индию и Восточную Африку и обратно.";;;;;;;;;;;;; 
gwadar_treaty_port_title;Гвадарский договорный порт;;;;;;;;;;;;;   
gwadar_treaty_port_desc;"Гвадар - что означает ""Врата ветра"" на белуджском языке - стратегический глубоководный порт в теплых водах и город, расположенный на побережье Аравийского моря на юго-западе. В 1783 году хан Калата Мир Нури Насир Хан Белудж предоставил сюзеренитет над Гвадаром Тахмуру Султану, поверженному правителю Маската. Его местоположение послужит защищаемой и хорошо расположенной угольной станцией между Индией и Африкой.";;;;;;;;;;;;; 
ningbo_treaty_port_title;Нинбоский договорный порт;;;;;;;;;;;;; 
ningbo_treaty_port_desc;Нинбо - один из старейших городов Китая, история которого восходит к культуре Хэмуду в 4800 г. до н.э. Нинбо был известен как торговый город на Шелковом пути по крайней мере две тысячи лет назад, а затем как крупный порт наряду с Янчжоу и Гуанчжоу при династии Тан, после чего он стал главным портом для внешней торговли при династии Сун. Обнесенный стенами город, зажатый между океаном и невысокими горами на юго-западе, с прибрежной равниной и долинами между ними, играет важную роль в контроле над важными полуостровами Чуаньшань и Сяншань. Во времена династий Мин и Цин в Нинбо процветала текстильная промышленность.;;;;;;;;;;;;; 
reorganize_lebanon_title;Перетасовать правящую фракцию Ливана;;;;;;;;;;;;; 
reorganize_lebanon_desc;Ливан - это запутанная паутина религиозных меньшинств, которые зачастую враждебны друг другу. Они послужили бы нам лучше, если бы у власти находилась фракция, не враждебная нашему правительству.;;;;;;;;;;;;; 
organize_lebanon_title;Организовать Ливан;;;;;;;;;;;;; 
organize_lebanon_desc;Мы должны организовать колонию Ливана, чтобы лучше отразить как местную структуру, так и наладить возможность автономного правления, доминируя, конечно же, над нашей выбранной группой.;;;;;;;;;;;;; 
kwangchowan_treaty_port_title;Кванчхованский договорный порт;;;;;;;;;;;;; 
kwangchowan_treaty_port_desc;"Кванчхован - что означает ""Залив Гуанчжоу"" - расположен в провинции Гуандун (провинция Квантун) на восточной стороне полуострова Лэйчжоу к северу от Хайнаня. Залив Кванчхована и деревни и города в нем могли бы стать хорошим источником дохода. Сейчас города не имеют коммерческого значения, но стратегически расположены, поэтому они могут конкурировать с самыми прибыльными городами Китая.";;;;;;;;;;;;; 
hainan_treaty_port_title;Хайнаньский договорный порт;;;;;;;;;;;;; 
hainan_treaty_port_desc;Город Чжуя (Берег жемчуга), название знаменитых жемчужных промыслов региона, ныне известный как Цюншань, является важной остановкой на пути в Шанхай и Формозу. Контроль над ним дал бы контроль над всем Хайнанем и сделал бы его важной угольной станцией.;;;;;;;;;;;;; 
taipei_treaty_port_title;Тайваньская концессия;;;;;;;;;;;;; 
taipei_treaty_port_desc;Район Тайбэя - это место основных китайских поселений ханьцев на севере Тайваня и один из назначенных заграничных торговых портов, Тамсуй. Этот район приобрел экономическое значение благодаря процветающей заморской торговле, особенно экспорту чая. Контроль над ним означал бы контроль над Тайванем и значительной частью чайной торговли.;;;;;;;;;;;;; 
jiaxing_treaty_port_title;Джясинский договорный порт;;;;;;;;;;;;; 
jiaxing_treaty_port_desc;"Джясин хорошо известен как ""родина шелка"", это знаменитый производитель текстиля и шерстяных изделий. Хотя он и не так важен, как соседний Шанхай, его приобретение, несомненно, поможет нашей текстильной промышленности.";;;;;;;;;;;;; 
weihaiwei_treaty_port_title;Вэйхайвэйский договорный порт;;;;;;;;;;;;; 
weihaiwei_treaty_port_desc;Порт Вэйхайвэй служит базой Бэйянского флота (Североморского флота) династии Цин. Наряду с Люйшунем он обеспечивает стратегическую точку для контроля над Корейским заливом и Бохайским заливом. Контроль над ним поставит наши флоты у ворот императорской столицы Китая.;;;;;;;;;;;;; 
lushun_treaty_port_title;Люйшуньский договорный порт ;;;;;;;;;;;;; 
lushun_treaty_port_desc; Располагаясь вокруг самой узкой части Ляодунского полуострова, занимая южный мыс, Люйшунь, также известный как Порт-Артур, находится в решающей точке. Он охраняет вход в Императорскую столицу Китая и Бохайское море. Контроль над ним обеспечил бы стратегическое господство над Бохайским заливом и Корейским заливом.;;;;;;;;;;;;; 
qingdao_treaty_port_title;Циндаоский договорный порт;;;;;;;;;;;;; 
qingdao_treaty_port_desc;Циндао - сонный рыбацкий городок, переживающий драматические перемены: военно-морская станция и гарнизоны были построены правителями династии Цин, и растущее присутствие западных кораблей увеличивает его значение. Он стал бы великолепными воротами в Северный Китай.;;;;;;;;;;;;; 
shanghai_treaty_port_title;Шанхайский договорный порт;;;;;;;;;;;;; 
shanghai_treaty_port_desc;Веками Шанхай был крупным административным, судоходным и торговым городом, его значение возросло в XIX веке благодаря признанию европейцами его выгодного портового местоположения и экономического потенциала. Этот потенциал может быть полностью реализован при управлении $COUNTRY_ADJ$.;;;;;;;;;;;; ;
hong_kong_treaty_port_title;Гонконгский договорный порт;;;;;;;;;;;;; 
hong_kong_treaty_port_desc;Китай является основным поставщиком своего родного чая в Европу, где ежегодное внутреннее потребление в 1830 году достигло 30 046 935 фунтов (13 629 060 кг), в среднем 1,036 фунтов (0,470 кг) на душу населения. С экономической точки зрения $COUNTRY_ADJ$, китайский чай был крайне важным товаром, поскольку он приносит огромное богатство тайпанам - иностранным (особенно $COUNTRY_ADJ$) бизнесменам в Китае, в то время как пошлина на чай составляла 10% доходов правительства. С базой в Гонконге наша торговля чаем и опиумом будет невероятно прибыльной, и город, несомненно, принесет нам много прибыли.;;;;;;;;;;;;; 
macao_treaty_port_title;Макаоский договорный порт;;;;;;;;;;;;; 
macao_treaty_port_desc;Макао лежит на западной стороне дельты Жемчужной реки напротив Гонконга. Если мы хотим получить доступ к богатствам Гуандуна и юга Китая, контроль над Макао был бы хорошим началом.;;;;;;;;;;;;; 
qeshm_treaty_port_title;Кешмский договорный порт;;;;;;;;;;;;; 
qeshm_treaty_port_desc;Расположенный в центральной точке Ормузского пролива, остров и город Кешм служат жизненно важным маршрутом и торговой связью с Индией, Восточной Африкой и Персией. Его положение в Персидском заливе имеет центральное значение для контроля над Ормузским проливом.;;;;;;;;;;;;; 
ifni_treaty_port_title;Ифнинский договорный порт;;;;;;;;;;;;; 
ifni_treaty_port_desc;Племя Айт Баамран долгое время населяло небольшой город Ифни и окружающий его регион. Они занимаются животноводством и торгуют с европейцами и северным Марокко, выступая посредниками в транссахарской торговле. Ифни послужил бы отличной угольной станцией в центральной и южной Сахаре.;;;;;;;;;;;;; 
russification_of_finland_title;Интеграция Финляндии;;;;;;;;;;;;; 
russification_of_finland_desc;"Наслаждаясь процветанием и контролем над собственными делами и оставаясь лояльными подданными, манифест, который $MONARCHTITLE$ выпустил $YEAR$, стал причиной отчаяния финнов. Манифест был принят финским сенатом решающим голосом президента сената, назначенца $MONARCHTITLE$, после того как генерал-губернатор Финляндии пригрозил военным вторжением и осадой. Хотя на первый взгляд он подтверждал права финнов в чисто местных вопросах, в манифесте утверждалась власть государства в любых и всех вопросах, которые можно считать ""входящими в сферу общего законодательства $COUNTRY_ADJ$ империи"". Основными проведенными мерами политики были: Закон о воинской повинности, включающий финскую армию в состав армии $COUNTRY_ADJ$. Языковой манифест $YEAR$, сделавший $COUNTRY_ADJ$ языком управления Финляндии. $COUNTRY_ADJ$ церковь была государственной церковью, включая, например, криминализацию акта подвергания последователя указанной церкви другому церковному служению. Манифест $YEAR$, в котором утверждалось право правительства $COUNTRY_ADJ$ управлять Финляндией без согласия местных законодательных органов, включая контроль над прессой, если это необходимо, и ограничения валюты и марок $COUNTRY_ADJ$ как единственно разрешенных. Наши финские подданные, конечно, не оценят это и могут попытаться оказать сопротивление.";;;;;;;;;;;;; 
force_neuchatel_issue_title; Настаивать на наших претензиях в Невшателе;;;;;;;;;;;;; 
force_neuchatel_issue_desc;Мы можем попытаться оказать давление на Швейцарию по поводу наших претензий на Невшатель, чтобы наконец урегулировать вопрос о принадлежности этой территории. Однако это разозлит великие державы Европы.;;;;;;;;;;;;; 
access_to_the_rhine_title; Доступ к Рейнской области;;;;;;;;;;;;; 
access_to_the_rhine_desc;Отношения с правителем Касселя были шаткими некоторое время, улучшаясь или ухудшаясь в эти бурные времена. Из-за условий, не зависящих от нас, они теперь запрещают нашим войскам маршировать через Кассель для аннексии наших западных провинций. Это прямой вызов для $COUNTRY$, который в соответствии с конвенциями с курфюрстом имеет право на использование военных дорог через Гессен, являющихся нашим единственным средством связи с нашими Рейнскими провинциями. Мы не можем быть отрезаны таким образом - немедленные действия необходимы для обеспечения доступа к Рейну.;;;;;;;;;;;;; 
build_the_cnr1_title; Первый этап КНР;;;;;;;;;;;;; 
build_the_cnr1_desc;Первый этап Канадской национальной железной дороги, связывающий Виннипег с Атлантическим побережьем, завершен. Теперь необходимо приступить ко второму этапу, который будет значительно сложнее.;;;;;;;;;;;;; 
build_the_cnr2_title; Второй этап КНР;;;;;;;;;;;;; 
build_the_cnr2_desc;Второй этап Канадской национальной железной дороги, связывающий Калгари с Атлантическим побережьем, завершен. Теперь необходимо приступить к последнему этапу, который будет самым длинным и сложным, поскольку он требует создания перевала через сами Скалистые горы.;;;;;;;;;;;;; 
build_the_cnr3_title; Завершение КНР;;;;;;;;;;;;;   
build_the_cnr3_desc;После колоссальных усилий, затраченных на создание перевала через Скалистые горы, Канадская национальная железная дорога завершена! Теперь одна железная дорога связывает Тихоокеанское побережье с Атлантическим. Толпы собрались в $CAPITAL$, чтобы отпраздновать отправку первого локомотива, который совершит полное путешествие!;;;;;;;;;;;;;   
cede_aden_title; Уступить Аден Йемену;;;;;;;;;;;;; 
cede_aden_desc;Чтобы укрепить наши отношения с Йеменом, мы должны продолжить наши усилия по деколонизации и уступить Аден. Это означает потерю стратегически важного порта, но улучшит нашу репутацию в глазах других мировых держав.;;;;;;;;;;;;; 
establish_writing_system_title; Принять письменность;;;;;;;;;;;;;   
establish_writing_system_desc;Наше общество функционировало без письменности на протяжении веков. Иностранные миссионеры используют эти символы для общения друг с другом и оставления заметок. Если бы мы с их помощью кодифицировали наш язык и обучили наших людей, возможно, мы могли бы стать такими же могущественными, как страны, из которых они прибыли.;;;;;;;;;;;;; 
tasmania_penal_colony_title; Исправительная колония Ван-Дименс-Ленд;;;;;;;;;;;;; 
tasmania_penal_colony_desc;В 1803 году остров к югу от Австралии был колонизирован британцами как исправительная колония с названием Ван-Дименс-Ленд и стал частью британской колонии Новый Южный Уэльс. Мужчины-заключенные отбывали свои сроки в качестве присвоенной рабочей силы для свободных поселенцев или в бригадах, назначенных на общественные работы. Только самые трудные заключенные (в основном рецидивисты) отправлялись в тюрьму Тасманского полуострова, известную как Порт-Артур. Женщины-заключенные назначались прислугой в домохозяйства свободных поселенцев или отправлялись в женскую фабрику (тюрьму-работный дом для женщин). В Ван-Дименс-Ленд было пять женских фабрик. Заключенные, отбывшие срок или получившие право на освобождение, часто сразу покидали Ван-Дименс-Ленд. Многие поселились в новой свободной колонии Виктория, к разочарованию свободных поселенцев таких городов, как Мельбурн.\n\nМы можем упразднить исправительную колонию и превратить остров в обычную колонию. Изменение названия с Ван-Дименс-Ленд на Тасманию должно помочь нашему правительству немного очистить репутацию острова.;;;;;;;;;;;;; 
claim_argentina_chaco_title; Претендовать на Аргентинскую Чако;;;;;;;;;;;;; 
claim_argentina_chaco_desc;Гран-Чако была спорной территорией с 1810 года. Официально она должна была быть частью Аргентины, Боливии и Парагвая, хотя большая часть земли к западу от реки Парагвай принадлежала Парагваю с момента обретения им независимости. Наша задача - воплотить в жизнь наши притязания на эту область.;;;;;;;;;;;;; 
UBD_germans_accepted_title; Восстановить прибалтийско-немецкое дворянство;;;;;;;;;;;;; 
UBD_germans_accepted_desc;Прибалтийские немцы долгое время жили в Прибалтийских государствах, и хотя когда-то они были одной из доминирующих сил в регионе, сейчас они не имеют никакой власти в правительстве или обществе. Поскольку Прибалтийские государства находятся под нашей защитой и контролем, мы должны восстановить немецкую знать, чтобы она лучше служила нам.;;;;;;;;;;;;; 
add_lithuania_baltic_states_title; Интегрировать Литву в Прибалтийские государства;;;;;;;;;;;;; 
add_lithuania_baltic_states_desc;Хотя Литва не считается частью Прибалтийских государств как таковых, она достаточно мала, чтобы быть добавленной в Прибалтийскую администрацию. Это совсем не понравится литовцам, и это можно сделать только силой, но управление нашими прибалтийскими союзниками станет проще.;;;;;;;;;;;;;
1850_compromise_title;Компромисс $YEAR$ года;;;;;;;;;;;;; 
1850_compromise_desc;Сенаторы Генри Клей и Стивен А. Дуглас представили проект предложения о компромиссе по вопросу о рабстве, основанный на предпосылке народного суверенитета как определяющего фактора рабства или аболиционизма на территориях. Поддерживая проект предложения, мы могли бы успокоить напряженность по вопросу о рабстве по крайней мере на некоторое время. Компромисс представляет собой пакет из пяти отдельных законопроектов, которые разрядят четырехлетнюю политическую конфронтацию между рабовладельческими и свободными штатами по поводу статуса территорий, приобретенных во время Мексиканско-американской войны. Основные моменты:\n1.Техас отказывается от своих претензий на Нью-Мексико, по поводу которого он угрожал войной, а также от своих претензий к северу от линии Миссурийского компромисса. Он сохраняет за собой Техасскую рукоятку, а федеральное правительство взяло на себя государственный долг штата.\n.2.Калифорния принята как свободный штат в его нынешних границах.\n3.Провизия Уилмота будет полностью отклонена.\n4.Работорговля (но не рабство в целом) будет запрещена в Вашингтоне.;;;;;;;;;;;;;
conquer_conakry_title;Конакрийский протекторат;;;;;;;;;;;;;
conquer_conakry_desc;Since the 18th century, Portuguese, British and French traders had established small stations on the coast which was called Rivieres du Sud by the French. The Portuguese had trading stations at Rio Pongo and Rio Nunez, mostly for the purchase of enslaved Africans captured inland and brought to the coast. By 1820, British suppression of the slave trade and Portuguese imperial decline saw these posts abandoned, with British and French traders moving in. The French admiral Bou?t-Willaumez made a number of treaties with coastal communities in the area (usually under the threat of force), and ensured Marseilles based trade houses exclusive access to the palm oil trade by the 1840s. Used for making soap, the palm oil trade was with Diola merchants who established markets in the interior, and transported it to the coastal stations. We can formalize the colonial structure of these trade posts and routes to effectively take control of Conakry.;;;;;;;;;;;;;
senegal_gambia_border_treaty_title;The Senegal-Guinea-Bissau Borders;;;;;;;;;;;;;
senegal_gambia_border_treaty_desc;"Возник спор с другой страной по поводу наших колониальных границ в Сенегале и Гвинее-Бисау. Граждане хлынули и живут в провинции Зигиншор. Согласно принципам эффективной оккупации, установленным на Берлинской конференции, территория принадлежит нам. Но она долгое время находилась под властью другой нации, и так возник спор. Наши дипломаты пытаются организовать обмен - Габу на Зигиншор, или, по крайней мере, компенсацию в обмен на провинцию, теперь нам просто нужно предложить эту сделку нашим добрым соседям. Если у нас нет территории для обмена, нам придется заплатить 200 000 фунтов стерлингов за наши покупки, сразу или в рассрочку, если сделка состоится. (Вы можете узнать, заплатите ли вы, если событие, которое произошло, имеет в своем названии ""покупка"").";;;;;;;;;;;;; 
